"Front";"Back";"Tags";"Difficulty";"Source"
"State Satz 3.6.11: Multiplikationssatz.";"Sind \sum n\ge1 an und \sum n\ge1 bn absolut konvergent, so ist die Familie (ai b j)(i, j)\inN2 summierbar und \sum (i, j)\inN2 ai b j = ( \infty\sum i= 1 ai )( \infty\sum j= 1 b j ) . Beispiel: Seien z, w \in C, | z| < 1, | w| < 1 ⇒ \sum k\ge0 zk, \sum l\ge0 wl absolut konvergent. Aus 3.6.11 folgt \sum (k,l)\inN2 0 zkwl = ( \infty\sum k= 0 zk )( \infty\sum l= 0 wl ) = 1 (1 − z)(1 − w) . Der Multiplikationssatz gibt einen anderen Weg, der Satz üb er Cauchy-Produkt 7.2.21 zu beweisen. ANALYSIS I-III, 2011/2013 66 4. S TETIGKEIT UND GRENZWERTE 4.1. Stetige Funktionen. Wir betrachten Funktionen f : D \to C, wobei D \subset C beliebig ist. Wegen R \subset C ist dabei auch D \subset R erlaubt. Die Funktion f : D \to C heißt reell, falls f (x) \in R für alle x \in D. Der Begriff der Stetigkeit soll die Idee ausdrücken, dass di e Funktion keinen Sprung macht: f ist stetig in x0 bedeutet: Wenn sich x der Zahl x0 annähert, so nähert sich der Funktionswert f (x) der Zahl f (x0) an. Eine unmittelbare Umsetzung dieser Idee ist mittels Folgen mögl ich:\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-6 ch-3 multiplikationssatz";"3";"PDF p67; section 3.6. Notizen"
"Define Stetigkeit (Def 4.1.1).";"$f$ is continuous at $x_0$ if $x_n\to x_0$ implies $f(x_n)\to f(x_0)$, equivalently by the epsilon-delta condition when stated.\n\nIntuition: Inputs close to $x_0$ force outputs close to $f(x_0)$.";"definition sec-4-1 ch-4 high-yield folgen definition der";"2";"PDF p68; section 4.1. Stetige Funktionen"
"State Satz 4.1.2: Rechenregeln.";"Seien f , g : D \to C stetig in z0 \in D. Dann gilt: (i) f + g : D \to C und f g : D \to C sind stetig in z0. (ii) Falls g(z0) ̸= 0, so ist E = {z \in D : g(z) ̸= 0} eine Umgebung von z0 in D, und f /g : E \to C ist stetig in z0.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-4-1 ch-4 rechenregeln";"3";"PDF p68; section 4.1. Stetige Funktionen"
"State Satz 4.1.3: Kompositionsregel.";"Seien f : D \to C, g : E \to C mit f (D) \subset E. Ist f in x0 \in D stetig und g in f (x0) stetig, so ist g ◦ f : D \to C in x0 stetig. Zur Erinnerung: Die Funktion g ◦ f ist definiert durch ( g ◦ f )(x) = g( f (x)) für x \in D.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-4-1 ch-4 kompositionsregel";"3";"PDF p69; section 4.1. Stetige Funktionen"
"State Satz 4.1.4: Stetigkeit der Umkehrfunktion.";"Sei f : [a, b] \to C stetig und injektiv. Sei E = {f (x) : x \in [a, b]} und sei g : E \to [a, b], g := f − 1. Dann ist g stetig.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-4-1 ch-4 stetigkeit der umkehrfunktion";"3";"PDF p69; section 4.1. Stetige Funktionen"
"State Satz 4.1.5: \varepsilon-δ-Kriterium für Stetigkeit.";"Sei f : D \to C, D \subset C und x0 \in D. Die Funktion f ist stetig im Punkt x0, genau dann, wenn für alle \varepsilon > 0 ein δ = δ(\varepsilon, z0) > 0 existiert, so dass für alle z \in D mit | x − x0| < δ gilt: | f (x) − f (x0)| < \varepsilon. /Bullet/Circle x0 /Bullet/Circle/Bullet/Circlef (x0) /Bullet/Circle x0− δ /Bullet/Circle/Bullet/Circle /Bullet/Circle x0+ δ /Bullet/Circle/Bullet/Circle /Bullet/Circlef (x0)− \varepsilon /Bullet/Circlef (x0)+ \varepsilon /Bullet/Circle x0 /Bullet/Circle/Bullet/Circlef (x0) /Bullet/Circle /Bullet/Circlef (x0)− \varepsilon /Bullet/Circlef (x0)+ \varepsilon /Bullet/Circle/Bullet/Circle /Bullet/Circle x0− δ /Bullet/Circle x0+ δ /Bullet/Circle/Bullet/Circle /Bullet/Circle Stetig: zu jedem \varepsilon > 0, gibt es δ > 0 mit f ( (x0 − δ, x0 − δ) ) \subset ( f (x0) − \varepsilon, f (x0) − \varepsilon ) Unstetig: es gibt ein \varepsilon> 0, so dass für alle δ > 0 gilt f ( (x0 − δ, x0 − δ) ) ̸\subset ( f (x0) − \varepsilon, f (x0) − \varepsilon )\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-4-1 ch-4 varepsilon kriterium für";"3";"PDF p69; section 4.1. Stetige Funktionen"
"Define monoton steigend (Def 4.1.6).";"Sei I \subset R ein Intervall. Eine Funktion f : I \to R heißt monoton steigend (bzw .fal- lend) :⇐ ⇒ Für alle x, y \in I mit x \le y gilt f (x) \le f (y) (bzw . f (x) \ge f (y)). Eine Funktion f : I \to R heißt streng monoton steigend (bzw .fallend) :⇐ ⇒ Für alle x, y \in I mit x < y gilt f (x) < f (y) (bzw . f (x) > f (y)). Bemerkung: Wenn f streng monoton ist, dann ist f injektiv . Beispiel: Stetigkeit der Wurzelfunktion. Sei k \in N. Seien 0 ≤ a < b. Dann ist f : [ k\sqrta, k\sqrt b ] \to [ a, b ] mit f (x) := xk stetig monoton steigend. Wegen Satz 4.1.4 ist g = f − 1 = k\sqrt·: [ a, b ] \to [ k\sqrta, k\sqrt b ] stetig; es folgt, dass die durch h(x) := k\sqrtx definierte Funktion h : [0,\infty ) \to R stetig ist. 4.2. Der Zwischenwertsatz. Der Zwischenwertsatz bildet die Grundlage vieler Existenz aussagen der Ana- lysis.\n\nIntuition: This definition gives precise language for the topic of continuity via sequences and epsilon-delta language, algebra and composition of continuous functions.";"definition sec-4-1 ch-4";"1";"PDF p70; section 4.1. Stetige Funktionen"
"State Satz 4.2.1: Zwischenwertsatz.";"If $f:[a,b]\to\mathbb R$ is continuous and $c$ lies between $f(a)$ and $f(b)$, then some $\xi\in[a,b]$ satisfies $f(\xi)=c$.\n\nUse: Existence theorem for roots and equations.";"satz sec-4-2 ch-4 high-yield zwischenwertsatz";"4";"PDF p70; section 4.2. Der Zwischenwertsatz"
"State Folgerung 4.2.2: 4.2. Der Zwischenwertsatz.";"Sei I \subset R ein Intervall und sei f : I → R eine stetige Funktion. Dann ist das Bild f (I) auch ein Intervall. Eine weitere Anwendung des Zwischenwertsatzes ist die folg ende Äquivalenz der Injektivität und Monoto- nie für stetige Funktionen.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"folgerung sec-4-2 ch-4";"3";"PDF p70; section 4.2. Der Zwischenwertsatz"
"State Satz 4.2.3: 4.2. Der Zwischenwertsatz.";"Sei I \subset R ein Intervall und sei f : I \to R stetig. Dann sind äquivalent: (i) f ist injektiv, (ii) f ist streng monoton. In diesem Fall ist f − 1 : f (I) → I stetig und streng monoton.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-4-2 ch-4";"3";"PDF p70; section 4.2. Der Zwischenwertsatz"
"Define Potenzfunktion zum Exponenten z und die Funk- tion C ∋ z \mapstoxz \i… (Def 4.2.5).";"Für x > 0 und z \in C definieren wir (4.1) xz := exp(z ·log x) = ez·log x . Die Funktion R+ ∋ x \mapstoxz \in C (für festes z \in C) heißt Potenzfunktion zum Exponenten z und die Funk- tion C ∋ z \mapstoxz \in C (für festes x > 0) heißt Exponentialfunktion zur Basis x. Für alle x > 0, q \in Q stimmt die obige Definition von xq mit unserer früheren Definition 1.6.7 überein (siehe Übung 4.5.4). Als Komposition stetiger Funktionen sind sow ohl die Potenzfunktionene als auch die Exponen- tialfunktionen stetig. Es gelten die Potenzgesetze (vgl. (1.11)) (4.2) ( x y)z = xz yz , xz+ w = xz xw , (xa)z = xaz , für alle x, y > 0, z, w \in C und a \in R Außerdem gilt für x > 1 und a < b gilt xa < xb; für a > 0 und x < y gilt xa < ya. 08.01.26 ANALYSIS I-III, 2011/2013 70 4.3. Satz vom Maximum und Minimum. Zu den grundlegenden mathematischen Sätzen zählt der folge n- de: 4.3.1. Satz (Satz vom Maximum und Minimum (Weierstraß)) . Eine stetige Funktion auf einem nichtleeren kompakten Intervall ist beschränkt und nimmt ihr Maximum un d ihr Minimum an. Genauer: Seien a, b \in R mit a ≤ b, und sei f : [ a, b] → R eine stetige Funktion. Dann gibt es xmin, xmax \in [a, b] so, dass für alle x \in [a, b…\n\nIntuition: This definition gives precise language for the topic of intermediate value theorem, inverse functions, roots, logarithm, and exponential/logarithmic relationships.";"definition sec-4-2 ch-4";"1";"PDF p71; section 4.2. Der Zwischenwertsatz"
"State Folgerung 4.3.2: Satz vom Maximum und Minimum.";"A continuous real-valued function on a compact interval is bounded and attains its maximum and minimum.\n\nUse: Fundamental for optimization and compactness.";"folgerung sec-4-3 ch-4 high-yield";"4";"PDF p72; section 4.3. Satz vom Maximum und Minimum"
"Define Häufungspunkt einer Menge D \subset C (Def 4.4.1).";"Ein Punkt z0 \in C = C \cup {\infty } heißt Häufungspunkt einer Menge D \subset C, falls es eine Folge (zn) in D \ {z0} gibt mit lim n→\infty zn = z0. Analog heißt x0 \in R = R\cup {−\infty ,+\infty } Häufungspunkt einer Menge D \subset R, falls es eine Folge ( xn) in D \{ x0} gibt mit lim n→\infty xn = x0. Ein Punkt z0 \in D, der kein Häufungspunkt von D ist, heißt isolierter Punkt von D. Beachten Sie: Ein Häufungspunkt x0 von D muss nicht in D liegen. Falls x0 \in D, so müssen die xn alle ungleich x0 sein. Beachten Sie auch, dass wir \infty \in C und −\infty ,+\infty \in R als Häufungspunkte zulassen. Beispiele. (1) Jedes x0 \in [0,1] ist Häufungspunkt von (0 ,1): Für x0 \in (0,1] kann man zum Beispiel xn = x0 ( 1 − 1 n ) nehmen, für x0 = 0 die Folge xn = 1 n , wobei jeweils n ≥ 2. Weitere Häufungspunkte gibt es offenbar nicht. (2) Z hat keinen Häufungspunkt in R. Eine Teilmenge von R mit dieser Eigenschaft nennt man diskret. Insbe- sondere sind alle Punkte von Z isoliert. In R hat Z die Häufungspunkte ±\infty . (3) Die Menge der Häufungspunkte von Q ist R. Es ist wichtig, Häufungspunkte von Mengen und Häufungswerte von Folgen zu unterscheiden. Zum Beispiel hat die Folge ( xn)n\…\n\nIntuition: This definition gives precise language for the topic of limits of functions and their relation to continuity.";"definition sec-4-4 ch-4";"1";"PDF p73; section 4.4. Grenzwerte von Funktionen"
"Define unnamed definition in 4.4 (Def 4.4.2).";"(i) Sei D \subset C, z0 \in C ein Häufungspunkt von D, a \in C. Wir sagen, dass f : D \to C in z0 den Grenzwert a hat, falls für alle Folgen ( zn) in D \ {z0} gilt: limn→\infty zn = z0 \Rightarrow limn→\infty f (zn) = a Schreibweise: lim z→ z0 f (z) = a. (ii) Sei D \subset R, x0 \in R ein Häufungspunkt von D, a \in R. Wir sagen, dass f : D \to R in x0 den Grenzwert a hat, falls für alle Folgen ( xn) in D \ {x0} gilt: limn→\infty xn = x0 \Rightarrow limn→\infty f (xn) = a ANALYSIS I-III, 2011/2013 72 Schreibweise: lim x→ x0 f (x) = a. Beispiele. (1) Sei D := C\{0}, f : D \to C, f (z) = exp(z)− 1 z . Dann ist z0 = 0 ein Häufungspunkt von D. Wir haben schon gezeigt in 4.3, dass lim z→ 0 exp(z) − 1 z = 1. (2) Für n \in N0 gilt (4.4) limx→\infty ex xn = \infty Dafür benutzen wir die folgende Abschätzung für x > 0: ex = \infty\sum k= 0 xk k! > xn+ 1 (n + 1)! , also ex xn > x (n + 1)! Sei xk → \infty , k → \infty . Wegen exk xn k > xk (n + 1)! , k \in N folgt exk xn k → \infty , k → \infty . (3) Es gilt lim x→\infty log x = \infty . In der Tat, sei xn → \infty . Zu zeigen ist, dass für alle Folgen xn → \infty , gilt log xn → \infty . Sei C \in R beliebig. Weil xn → \infty , existiert ein…\n\nIntuition: This definition gives precise language for the topic of limits of functions and their relation to continuity.";"definition sec-4-4 ch-4";"1";"PDF p73; section 4.4. Grenzwerte von Funktionen"
"State Satz 4.4.3: 4.4. Grenzwerte von Funktionen.";"Seien D \subset R, x0 \in R ein Häufungspunkt von D, und a \in R. Eine Funktion f : D → R erfüllt limx→ x0 f (x) = a genau dann, wenn gilt: Für jede Umgebung V von a gibt es eine Umgebung U von x0 mit f ( (U \ {x0}) \cap D ) \subset V .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-4-4 ch-4";"3";"PDF p75; section 4.4. Grenzwerte von Funktionen"
"State Satz 4.4.4: 4.4. Grenzwerte von Funktionen.";"Mit D \subset R, f : D → R, x0 \in D gilt: (1) Falls x0 Häufungspunkt von D ist, folgt: f stetig in x0 \Longleftrightarrow limx→ x0 f (x) = f (x0). (2) Falls x0 nicht Häufungspunkt von D ist, so ist f stetig in x0. Ein Punkt x0 \in D, der nicht Häufungspunkt von D ist, heißt isolierter Punkt von D (siehe Definition 4.4.1). In isolierten Punkten ist also jede Funktion stetig!\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-4-4 ch-4";"3";"PDF p75; section 4.4. Grenzwerte von Funktionen"
"Define Einseitige Grenzwerte (Def 4.4.5).";"Seien D \subset R, f : D → R und x0 \in D. (1) Angenommen, x0 ist Häufungspunkt von D+ := {x \in D : x > x0}. Falls der Grenzwert limx→ x0 x\in D+ f (x) = a existiert, so heißt a der rechtsseitige Grenzwert von f bei x0. (2) Angenommen, x0 ist Häufungspunkt von D− := {x \in D : x < x0}. Falls der Grenzwert limx→ x0 x\in D− f (x) = a existiert, so heißt a der linksseitige Grenzwert von f bei x0. Man schreibt auch limx→ x0+ f (x), bzw . limx→ x0− f (x) für den rechts- bzw . linksseitigen Grenzwert. ANALYSIS I-III, 2011/2013 74\n\nIntuition: This definition gives precise language for the topic of limits of functions and their relation to continuity.";"definition sec-4-4 ch-4 einseitige grenzwerte";"1";"PDF p75; section 4.4. Grenzwerte von Funktionen"
"State Satz 4.4.6: 4.4. Grenzwerte von Funktionen.";"Seien D \subset R, f : D → R, x0 \in D, wobei x0 sowohl Häufungspunkt von D+ als auch von D− sei, und sei a \in R. Dann gilt: limx→ x0 x\in D f (x) = a \Longleftrightarrow die links- und rechtsseitigen Grenzwerte von f in x0 existieren und sind gleich a.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-4-4 ch-4";"3";"PDF p76; section 4.4. Grenzwerte von Funktionen"
"What pattern is shown in Beispiel 4.4.7?";"Limits of functions and their relation to continuity.\n\nSource: Sei f : R → R definiert durch f (x) := { 0, x < 0, 1, x ≥ 0. Dann gilt lim x→ 0− f (x) = 0 und lim x→ 0+ f (x) = 1. Da 0 ̸= 1, existiert der Grenzwert lim x→ 0 f (x) nicht. Als nächstes betracten wir die Funktion f : R \to R, (4.8) f (x) = { e− 1/x , x > 0 0 , x \le 0 Die Funktion f ist offentsichtlich stetig auf R\{0}. Ausserdem gilt lim x→ 0− f (x) = 0 limx→ 0+ f (x) also limx→ 0 f (x) = f (0). Somit ist f auch in x = 0 stetig. 0 1 2 3-1-2-3 0 -1 1 Genau wie bei Grenzwerten von Folgen gelten…";"beispiel sec-4-4 ch-4";"2";"PDF p76; section 4.4. Grenzwerte von Funktionen"
"State Satz 4.4.8: 4.4. Grenzwerte von Funktionen.";"Sei x0 \in R ein Häufungspunkt von D \subset R und f , g : D → R. Angenommen, limx→ x0 f (x) = a und limx→ x0 g(x) = b mit a, b \in R. Dann gilt limx→ x0 ( f (x) + g(x) ) = a + b, limx→ x0 ( f (x)g(x) ) = ab. sowie, falls g(x) ̸= 0 für x \in D, limx→ x0 f (x) g(x) = a b , falls die rechten Seiten im Sinne der Operationen auf R definiert sind. 4.5. Übungen. 4.5.1. Aufgabe. Zeige mit Hilfe der \varepsilon-δ–Definition 4.1.1 der Stetigkeit die folgenden Behauptunge n: (a) Die Funktion f : C → C, f (z) = z3 ist stetig. (b) Die Funktion f : C → C, f (z) = { Re z | z| , z ̸= 0 0 , z = 0 ist nicht stetig in z0 = 0. (c) Die Funktion f : C → C, f (z) = { (Re z)2 | z| , z ̸= 0 0 , z = 0 ist stetig in z0 = 0. 4.5.2. Aufgabe. Finde die Stetigkeits- und Unstetigskeitsstellen folgend er Funktionen: ANALYSIS I-III, 2011/2013 75 (a) f : R → R , mit f (x) = { x2 , x \in Q 0 , x \in R \ Q (b) g : R → R , mit g(x) =    cos x − 1 x , x ̸= 0 0 , x = 0 (c) \varphi : R → R , mit \varphi (x) = ⌊ x + 1 2 ⌋ (d) ψ : R → R , mit ψ (x) = | \varphi (x) − x| . 4.5.3. Aufgabe. (a) Zeigen Sie exp( z) ̸= 0 für alle z \in C, exp(x) > 0 für alle x \in R, exp(x) > 1 für alle x \in R+ und exp(x) < exp(y) für alle x…\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-4-4 ch-4";"3";"PDF p76; section 4.4. Grenzwerte von Funktionen"
"Define Differenzierbarkeit (Def 5.1.1).";"$f$ is differentiable at $x_0$ if $\lim_{x\to x_0}\frac{f(x)-f(x_0)}{x-x_0}$ exists.\n\nIntuition: The function has a best linear first-order approximation at the point.";"definition sec-5-1 ch-5 high-yield";"2";"PDF p79; section 5.1. Definition und erste Eigenschaften"
"State Satz 5.1.2: 5.1. Definition und erste Eigenschaften.";"Sei f : I \to C differenzierbar in x0 \in I. Dann ist f stetig in x0. ANALYSIS I-III, 2011/2013 79\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-5-1 ch-5";"3";"PDF p80; section 5.1. Definition und erste Eigenschaften"
"State Satz 5.2.1: Ableitungsregeln.";"Sind f , g : I \to C in x0 \in I differenzierbar , so sind auch die Funktionen f + g, \lambda f (\lambda \in C), f g in x0 differenzierbar; falls g(x0) ̸= 0, so ist auch f g in x0 differenzierbar . Es gilt dann ( f + g)′(x0) = f ′(x0) + g′(x0) , (\lambda f )′(x0) = \lambda f ′(x0) , ( f g)′(x0) = f ′(x0)g(x0) + f (x0)g′(x0) (Produktregel) , ( f g )′ (x0) = f ′(x0)g(x0) − f (x0)g′(x0) g(x0)2 (Quotientregel) .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-5-2 ch-5 ableitungsregeln";"3";"PDF p81; section 5.2. Ableitungsregeln"
"What pattern is shown in Beispiel 5.2.2?";"Derivative rules: linearity, product, quotient, chain rule, inverse rule.\n\nSource: (1) Sei c \in C und f sei differenzierbar in x0. Dann ist auch c f differenzierbar in x0 und (c f )′(x0) = c f ′(x0) wegen der Produktregel und c′ = 0. (2) Wegen sin x = 1 2i (eix − e− ix ), cos x = 1 2 (eix + e− ix ) gilt: sin′x = cos x , cos′x = − sin x Analog sinh′x = cosh x , cosh′x = sinh x ANALYSIS I-III, 2011/2013 80 (3) tan x := sin x cos x (wo cos x ̸= 0) ⇝ tan′x = 1 cos2 x = 1 + tan2 x Die Funktion tan erfüllt also die Differentialgleichung (D GL) f ′= 1 + f 2.";"beispiel sec-5-2 ch-5";"2";"PDF p81; section 5.2. Ableitungsregeln"
"State Satz 5.2.3: Lineare Approximation.";"Sei f : I \to C, x0 \in I, I ein Intervall. Die folgenden Aussagen sind äquivalent: (i) f ist differenzierbar in x0 . (ii) Es gibt \lambda \in C und ρ : I \to C mit ρ(x0) = 0, limx→ x0 ρ(x) x− x0 = 0 und f (x) = f (x0)+ \lambda(x− x0)+ ρ(x) für alle x \in I. (iii) Es gibt eine in x0 stetige Funktion r : I \to C mit f (x) = f (x0) + r(x)(x − x0) für alle x \in I. In diesem Falle gilt f ′(x0) = \lambda = r(x0).\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-5-2 ch-5 lineare approximation";"3";"PDF p82; section 5.2. Ableitungsregeln"
"State Satz 5.2.4: Kettenregel.";"If $f$ is differentiable at $x_0$ and $g$ at $f(x_0)$, then $(g\circ f)'(x_0)=g'(f(x_0))f'(x_0)$.\n\nUse: Essential calculation rule for derivatives.";"satz sec-5-2 ch-5 high-yield kettenregel";"4";"PDF p82; section 5.2. Ableitungsregeln"
"State Satz 5.2.5: Differenzierbarkeit der Umkehrfunktion.";"Sei I \subset R ein Intervall und f : I \to R stetig, streng monoton und differenzierbar in x0 \in I. Sei f ′(x0) ̸= 0. Dann ist die Umkehrfunktion g : J := f (I) \to R differenzierbar in y0 := f (x0), und es gilt (5.4) g′(y0) = 1 f ′(x0) = 1 f ′(g(y0)) oder ( f − 1)′(y0) = ( f ′(x0))− 1 .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-5-2 ch-5 differenzierbarkeit der umkehrfunktion";"3";"PDF p83; section 5.2. Ableitungsregeln"
